country,Year,Air transport,C02 Emissions,Municipal Waste
Austria,2007,9140909,8.96,595.532
Austria,2008,9140680,8.85,599.039
Austria,2009,8520740,8.1,587.746
Austria,2010,13493793,8.6,558.957
Austria,2011,14088251.66,8.3,568.628
Austria,2012,14518841.05,7.95,574.355
Austria,2013,15037454,7.97,573.293
Austria,2014,15210489,7.49,560.926
Austria,2015,14718641,7.7,557.229
Colombia,2007,11630594,1.41,206.847
Colombia,2008,12338706,1.52,204.559
Colombia,2009,12115330,1.62,249.287
Colombia,2010,16932435,1.69,196.663
Colombia,2011,18768534.77,1.67,210.22
Colombia,2012,22012458.84,1.73,193.484
Colombia,2013,26929238,1.98,194.698
Colombia,2014,28675159,1.83,192.435
Colombia,2015,30909723,1.96,206.909
Estonia,2007,651323,14.9,447.818
Estonia,2008,685582,13.3,391.023
Estonia,2009,395532,10.9,338.289
Estonia,2010,582320.2028,14.3,304.782
Estonia,2011,614933,14.4,300.518
Estonia,2012,914519,13.6,280.39
Estonia,2013,627588,14.9,292.852
Estonia,2014,602880,14.4,356.726
Estonia,2015,512389,12.1,359.265
Finland,2007,8288683,12.6,504.914
Finland,2008,7916485,11,520.355
Finland,2009,7423265,10.5,479.572
Finland,2010,8685772.868,12,469.456
Finland,2011,9508050,10.5,504.449
Finland,2012,10731828.49,9.47,505.654
Finland,2013,10467321,9.52,493.024
Finland,2014,10992792,8.73,481.539
Finland,2015,13035848,8.06,499.584
France,2007,61551258,6.56,542.934
France,2008,61214656,6.42,538.724
France,2009,58318312,6.12,534.68
France,2010,60864422.11,6.2,534.627
France,2011,64185339.34,5.78,534.52
France,2012,64683769.02,5.76,527.034
France,2013,63925151,5.75,519.656
France,2014,63434263,5.23,518.479
France,2015,65039503,5.3,517.647
Germany,2007,106101747,10.5,589.177
Germany,2008,107941584,10.5,596.639
Germany,2009,103396735,9.76,599.086
Germany,2010,97330734.28,10.3,609.165
Germany,2011,107042775.8,10,621.317
Germany,2012,105978474.5,10.1,614.516
Germany,2013,109062321.5,10.3,610.661
Germany,2014,112353098.6,9.74,627.4
Germany,2015,117222850,9.74,631.21
Hungary,2007,3133574,5.85,458.243
Hungary,2008,3111575,5.75,455.671
Hungary,2009,2952885,5.21,432.956
Hungary,2010,12477063.18,5.26,406.251
Hungary,2011,13729553.53,5.09,384.915
Hungary,2012,12289555.08,4.75,404.284
Hungary,2013,13926540,4.46,380.113
Hungary,2014,16482060,4.48,387.048
Hungary,2015,20043787,4.78,379.631
Israel,2007,4662615,9.18,628.584
Israel,2008,4563041,9.69,631.549
Israel,2009,4605452,8.89,632.932
Israel,2010,5084798,9.3,629.308
Israel,2011,5151469,9.17,633.864
Israel,2012,5381980,9.83,635.25
Israel,2013,5565864,8.41,628.57
Israel,2014,5886728,7.88,630.905
Israel,2015,6331198,8.15,636.919
Italy,2007,37830745,8.16,553.824
Italy,2008,30672048,7.94,550.914
Italy,2009,33194501,7.06,543.214
Italy,2010,32645164,7.19,546.816
Italy,2011,33923370.51,6.95,526.707
Italy,2012,31072962.16,6.56,500.906
Italy,2013,27846220,6.06,491.517
Italy,2014,27193939,5.77,490.849
Italy,2015,28603919,5.88,487.368
Latvia,2007,1344912,3.93,391.667
Latvia,2008,1371810,3.78,346.306
Latvia,2009,1301848,3.48,351.066
Latvia,2010,3158051,4.04,320.993
Latvia,2011,3299391,3.73,344.209
Latvia,2012,2888683,3.64,317.837
Latvia,2013,2754720,3.61,344.262
Latvia,2014,2636612.759,3.56,359.189
Latvia,2015,2527368,3.65,399.495
Lithuania,2007,423585,4.84,415.348
Lithuania,2008,609847,4.7,426.093
Lithuania,2009,616514,4.05,380.622
Lithuania,2010,81450,4.39,400.99
Lithuania,2011,69445,4.57,434.351
Lithuania,2012,592996,4.65,436.754
Lithuania,2013,1009728,4.36,425.416
Lithuania,2014,1274911,4.34,427.478
Lithuania,2015,1363946,4.48,443.402
Luxembourg,2007,1039067,23.9,701.957
Luxembourg,2008,1059848,23.1,701.868
Luxembourg,2009,681482,21.5,681.01
Luxembourg,2010,786920,22.1,677.825
Luxembourg,2011,785200,21.4,664.982
Luxembourg,2012,781146,20.5,651.946
Luxembourg,2013,1555788,19,616.927
Luxembourg,2014,1710624,17.7,627.845
Luxembourg,2015,1830972,16.5,610.42
Netherlands,2007,28857440,10.5,601.091
Netherlands,2008,29601230,10.6,595.602
Netherlands,2009,29108547,10.2,585.696
Netherlands,2010,26979676.63,10.9,568.486
Netherlands,2011,29959476.4,10.1,566.31
Netherlands,2012,31672223.98,9.89,548.064
Netherlands,2013,33455251,9.85,524.831
Netherlands,2014,33956338,9.41,526.505
Netherlands,2015,35687843,9.83,523.423
